Wavelength	Daylight	Leaves
300	0.001	0.059
305	0.009	0.046
310	0.026	0.041
315	0.065	0.046
320	0.113	0.046
325	0.164	0.048
330	0.206	0.054
335	0.226	0.045
340	0.237	0.046
345	0.256	0.045
350	0.273	0.05
355	0.284	0.048
360	0.293	0.045
365	0.315	0.054
370	0.332	0.049
375	0.335	0.053
380	0.332	0.051
385	0.352	0.051
390	0.389	0.053
395	0.476	0.055
400	0.579	0.055
405	0.617	0.057
410	0.651	0.063
415	0.671	0.064
420	0.686	0.067
425	0.669	0.071
430	0.671	0.069
435	0.729	0.076
440	0.807	0.081
445	0.864	0.083
450	0.912	0.086
455	0.934	0.088
460	0.947	0.088
465	0.946	0.086
470	0.947	0.084
475	0.958	0.083
480	0.973	0.088
485	0.952	0.087
490	0.939	0.09
495	0.944	0.09
500	0.956	0.098
505	0.959	0.102
510	0.96	0.109
515	0.957	0.119
520	0.953	0.132
525	0.975	0.147
530	0.992	0.159
535	0.992	0.165
540	0.986	0.166
545	0.993	0.17
550	0.996	0.175
555	1	0.177
560	0.979	0.172
565	0.969	0.163
570	0.963	0.155
575	0.966	0.148
580	0.971	0.144
585	0.943	0.14
590	0.923	0.134
595	0.929	0.13
600	0.944	0.128
605	0.95	0.125
610	0.954	0.124
615	0.953	0.12
620	0.951	0.116
625	0.934	0.114
630	0.923	0.116
635	0.927	0.114
640	0.937	0.112
645	0.923	0.108
650	0.913	0.101
655	0.917	0.098
660	0.925	0.099
665	0.945	0.097
670	0.957	0.095
675	0.947	0.095
680	0.931	0.099
685	0.886	0.103
690	0.853	0.106
695	0.859	0.128
700	0.862	0.143
