Wavelength	UV	Blue	Green
300	0.099121173	0.016177153	0.120762065
305	0.158226663	0.023073357	0.124462094
310	0.239595184	0.031621931	0.127135631
315	0.344103377	0.041674932	0.128792946
320	0.468689723	0.052860912	0.129523139
325	0.605454325	0.064591926	0.129497341
330	0.741867705	0.076120275	0.128956673
335	0.862386486	0.086645411	0.12818557
340	0.951298709	0.095459949	0.127476879
345	0.996104482	0.102114284	0.127098125
350	0.990423315	0.106574722	0.127267368
355	0.935488522	0.109351428	0.128143004
360	0.83974552	0.111578297	0.129827127
365	0.7167252	0.115033728	0.132378577
370	0.58192864	0.122095253	0.135830508
375	0.449702891	0.135619789	0.1402078
380	0.330945333	0.158736014	0.145541247
385	0.232062389	0.194531167	0.151877163
390	0.155138917	0.245619221	0.159282466
395	0.098937065	0.313598568	0.16784611
400	0.060225238	0.39844793	0.177678011
405	0.035013984	0.497962982	0.188906562
410	0.019454174	0.607386165	0.201675533
415	0.010336152	0.719403157	0.216140811
420	0.005254695	0.824646887	0.232467132
425	0.002557685	0.912752223	0.250824677
430	0.001192685	0.973854823	0.271385243
435	0.000533153	1	0.29431757
440	0.000228608	0.987954029	0.319781367
445	9.40835E-05	0.937418579	0.347919556
450	3.7186E-05	0.853734994	0.378848337
455	1.41239E-05	0.745675839	0.412644724
460	5.15821E-06	0.624138847	0.449331407
465	1.81247E-06	0.500266642	0.488858975
470	6.13097E-07	0.383718123	0.531085858
475	1.99768E-07	0.281468406	0.575756721
480	6.27352E-08	0.197325737	0.622480493
485	1.89992E-08	0.132135071	0.670709739
490	5.55193E-09	0.084467415	0.719723612
495	1.56632E-09	0.051518826	0.768617115
500	4.26856E-10	0.029966043	0.816299751
505	1.12431E-10	0.016613927	0.861506751
510	2.8637E-11	0.008776044	0.9028258
515	7.05724E-12	0.004414934	0.938741457
520	1.68359E-12	0.002114338	0.967698146
525	3.89003E-13	0.000963576	0.988180766
530	8.70978E-14	0.000417739	0.998809619
535	1.89067E-14	0.000172222	0.998443792
540	3.98101E-15	6.74996E-05	0.986284626
545	8.13484E-16	2.51431E-05	0.961968926
550	1.61395E-16	8.89868E-06	0.925640618
555	3.11044E-17	2.99166E-06	0.877989981
560	5.82566E-18	9.55172E-07	0.820251773
565	1.06086E-18	2.89562E-07	0.754157371
570	1.87911E-19	8.3331E-08	0.681841301
575	3.23908E-20	2.27616E-08	0.605708407
580	5.43568E-21	5.90013E-09	0.528273573
585	8.88452E-22	1.45117E-09	0.451990315
590	1.41496E-22	3.38627E-10	0.379086763
595	2.19667E-23	7.49584E-11	0.311427008
600	3.32559E-24	1.57388E-11	0.250412441
605	4.91172E-25	3.13431E-12	0.196932076
610	7.07989E-26	5.91968E-13	0.151363878
615	9.96359E-27	1.06028E-13	0.11362217
620	1.36951E-27	1.80089E-14	0.083240456
625	1.83925E-28	2.90066E-15	0.059475437
630	2.41433E-29	4.43047E-16	0.041417115
635	3.09879E-30	6.41761E-17	0.028091453
640	3.89028E-31	8.81725E-18	0.018545559
645	4.77873E-32	1.14944E-18	0.01190974
650	5.74563E-33	1.42294E-19	0.007435201
655	6.76397E-34	1.67604E-20	0.004509711
660	7.79917E-35	1.88728E-21	0.002655914
665	8.81087E-36	2.05534E-22	0.001517883
670	9.75556E-37	2.22569E-23	0.000841352
675	1.05897E-37	2.54147E-24	0.000452058
680	1.12733E-38	3.35177E-25	0.000235318
685	1.17729E-39	5.45241E-26	0.000118614
690	1.20645E-40	1.06252E-26	5.7865E-05
695	1.21356E-41	2.28309E-27	2.73074E-05
700	1.19856E-42	5.08077E-28	1.24601E-05
